From	To
P53123	sce:YGL136C
P0CX46	sce:YFR031C-A
P0CX46	sce:YIL018W
Q03786	sce:YDR248C
P0CX49	sce:YNL301C
P0CX49	sce:YOL120C
P36086	sce:YKL071W
P87262	sce:YER056C-A
O74302	sce:YDR261C-C
Q12676	sce:YMR113W
Q12000	sce:YOR091W
P07280	sce:YOL121C
P0CX83	sce:YBL027W
P0CX83	sce:YBR084C-A
Q08954	sce:YPL199C
P0CX26	sce:YJR094W-A
P0CX26	sce:YPR043W
P14905	sce:YDR197W
P37293	sce:YGR147C
P03879	sce:Q0120
P39726	sce:YAL044C
P0CX52	sce:YDL083C
P0CX52	sce:YMR143W
P40099	sce:YER183C
P0CX51	sce:YDL083C
P0CX51	sce:YMR143W
P03882	sce:Q0160
P0CX62	sce:YFL002W-B
P0CX62	sce:YGR161W-A
P36106	sce:YKL005C
P40893	sce:YJL217W
P46955	sce:YJL116C
P53051	sce:YGR287C
Q12217	sce:YBR012W-A
P0CX39	sce:YBL072C
P0CX39	sce:YER102W
P37262	sce:YCR073W-A
P38711	sce:YHR021C
Q12166	sce:YOR108W
Q06698	sce:YLR419W
P0CX42	sce:YBL087C
P0CX42	sce:YER117W
P0CX60	sce:YOR142W-A
P0CX60	sce:YPR158W-A
P47177	sce:YJR149W
P36001	sce:YKL132C
P33416	sce:YDR258C
Q04489	sce:YML096W
Q05937	sce:YLR375W
P47771	sce:YMR170C
P0CX67	sce:YDR316W-A
P0CX67	sce:YER159C-A
P0CX67	sce:YGR161C-C
P0CX67	sce:YMR051C
P09368	sce:YLR142W
P14743	sce:YLR195C
P0CX66	sce:YDR316W-A
P0CX66	sce:YER159C-A
P0CX66	sce:YGR161C-C
P0CX66	sce:YMR051C
P0CX55	sce:YDR450W
P0CX55	sce:YML026C
P40031	sce:YER046W
Q08745	sce:YOR293W
Q06469	sce:YPR158W
Q03772	sce:YDR163W
Q3E705	sce:YGR271C-A
P46784	sce:YMR230W
Q12036	sce:YPL148C
P22438	sce:YGR171C
P0C2H7	sce:YDR471W
P32617	sce:YEL044W
P05737	sce:YGL076C
Q12293	sce:YOR343W-A
P32338	sce:YGR044C
P53035	sce:YGL209W
Q3E841	sce:YNR034W-A
Q8TGM6	sce:YLR154W-C
P39525	sce:YER061C
P33417	sce:YKL032C
P36052	sce:YKL162C
P40053	sce:YER080W
P04449	sce:YGL031C
Q3E785	sce:YDR379C-A
P26785	sce:YNL069C
P0CY06	sce:YCL066W
P0CY06	sce:YCR040W
P0CY07	sce:YCL066W
P0CY07	sce:YCR040W
Q3E793	sce:YAL044W-A
P0CX34	sce:YLR287C-A
P0CX34	sce:YOR182C
Q03631	sce:YML076C
P39959	sce:YER130C
Q9URQ5	sce:YCR020W-B
P36156	sce:YKR076W
Q01855	sce:YOL040C
Q3E747	sce:YLR363W-A
Q3E769	sce:YOL159C-A
P0CX75	sce:YJR026W
P0CX75	sce:YLR227W-A
P0CX75	sce:YML040W
P0C0V8	sce:YKR057W
P0CX23	sce:YMR242C
P0CX23	sce:YOR312C
P48589	sce:YOR369C
Q3E754	sce:YJL136C
P0CX27	sce:YHR141C
P0CX27	sce:YNL162W
Q12167	sce:YDR065W
P47163	sce:YJR129C
P53920	sce:YNL123W
Q04623	sce:YDR125C
P0C2H6	sce:YHR010W
Q12093	sce:YDL033C
Q04781	sce:YMR247C
Q08422	sce:YOR052C
P03881	sce:Q0255
P0CX71	sce:YDR365W-A
P0CX71	sce:YER137C-A
P0CX71	sce:YLR157C-A
P0CX71	sce:YPL257W-A
P38625	sce:YMR217W
Q12266	sce:YBL005W-A
P40985	sce:YJR036C
P0CX31	sce:YER074W
P0CX31	sce:YIL069C
Q06836	sce:YPR095C
Q08748	sce:YOR296W
P56628	sce:YFL034C-A
P00498	sce:YER055C
Q08969	sce:YPL223C
P26784	sce:YIL133C
Q04215	sce:YMR046C
P0CX59	sce:YOR142W-A
P0CX59	sce:YPR158W-A
P23643	sce:YDR495C
P39529	sce:YJL206C
P25039	sce:YLR069C
Q12672	sce:YPL079W
P36059	sce:YKL151C
P07277	sce:YMR208W
Q05549	sce:YDR291W
P42950	sce:YJL103C
P32451	sce:YGR286C
Q12286	sce:YPR009W
P53911	sce:YNL136W
P25372	sce:YCR083W
P05740	sce:YKL180W
P11325	sce:YLR382C
P24521	sce:YMR220W
Q06134	sce:YLR341W
Q9ZZX0	sce:Q0075
P05744	sce:YPL143W
P54785	sce:YMR070W
P0CX65	sce:YDR316W-A
P0CX65	sce:YER159C-A
P0CX65	sce:YGR161C-C
P0CX65	sce:YMR051C
Q08689	sce:YOR253W
Q04545	sce:YML081W
Q12393	sce:YLR091W
P15496	sce:YPL117C
P0CX44	sce:YGL135W
P0CX44	sce:YPL220W
P40558	sce:YIL003W
P0CY11	sce:YCR097W
P34222	sce:YBL057C
P0CX73	sce:YDR365W-A
P0CX73	sce:YER137C-A
P0CX73	sce:YLR157C-A
P0CX73	sce:YPL257W-A
P0CX36	sce:YHR203C
P0CX36	sce:YJR145C
P03876	sce:Q0055
P53688	sce:YDR191W
P0CX35	sce:YHR203C
P0CX35	sce:YJR145C
P32643	sce:YER175C
P39724	sce:YAL046C
P38835	sce:YHR131C
P0C2J4	sce:YLR410W-A
Q04925	sce:YDR222W
P0CX53	sce:YDR418W
P0CX53	sce:YEL054C
Q04924	sce:YDR221W
P25383	sce:YCL020W
P0CX47	sce:YBR048W
P0CX47	sce:YDR025W
P39933	sce:YPR186C
Q08957	sce:YPL202C
Q07653	sce:YDL223C
Q3E7A7	sce:YKL018C-A
Q6Q560	sce:YER048W-A
Q06109	sce:YPR116W
O13585	sce:YPR089W
Q12221	sce:YPR042C
P40017	sce:YER024W
P0CX33	sce:YLR287C-A
P0CX33	sce:YOR182C
Q02733	sce:YPL017C
P17649	sce:YGR019W
P0CX50	sce:YNL301C
P0CX50	sce:YOL120C
P54114	sce:YMR169C
Q12132	sce:YPL230W
P53170	sce:YGL059W
P0CX29	sce:YGR118W
P0CX29	sce:YPR132W
P0CX28	sce:YHR141C
P0CX28	sce:YNL162W
Q03856	sce:YDR098C-A
Q12314	sce:YOR021C
P05748	sce:YLR029C
P0CX61	sce:YFL002W-B
P0CX61	sce:YGR161W-A
P0C2I4	sce:YHR214C-C
P48570	sce:YDL182W
P29453	sce:YLL045C
P0CX25	sce:YJR094W-A
P0CX25	sce:YPR043W
P0CY13	sce:YCR096C
P48564	sce:YNL295W
Q06817	sce:YPR081C
Q12504	sce:YDR257C
P0CX40	sce:YBL072C
P0CX40	sce:YER102W
P50109	sce:YML017W
Q08634	sce:YOR238W
P32860	sce:YKL040C
P53187	sce:YGL033W
Q06244	sce:YLR165C
Q12485	sce:YGR038C-A
P53734	sce:YNR038W
P46990	sce:YJL177W
Q03833	sce:YDR096W
P54780	sce:YMR121C
P53075	sce:YGL228W
P0CX45	sce:YFR031C-A
P0CX45	sce:YIL018W
P49367	sce:YDR234W
P40571	sce:YIR015W
P40470	sce:YIL127C
P09932	sce:YDL227C
Q06596	sce:YPR199C
P02406	sce:YGL103W
P52893	sce:YLR089C
Q03362	sce:YDR476C
Q12690	sce:YDL082W
P46969	sce:YJL121C
P05747	sce:YFR032C-A
P0CX48	sce:YBR048W
P0CX48	sce:YDR025W
Q12213	sce:YPL198W
Q12204	sce:YOR022C
P53946	sce:YNL059C
P0CW40	sce:YIL172C
P0CW40	sce:YJL221C
P40535	sce:YIL036W
Q6Q5H1	sce:YPR158C-C
P07281	sce:YNL302C
Q02981	sce:YPL109C
P0CX85	sce:YDL136W
P0CX85	sce:YDL191W
P40168	sce:YNL195C
P38289	sce:YBR163W
P38071	sce:YBR026C
Q08747	sce:YOR295W
P40962	sce:YOR077W
Q03483	sce:YDR210W-A
P0CX72	sce:YDR365W-A
P0CX72	sce:YER137C-A
P0CX72	sce:YLR157C-A
P0CX72	sce:YPL257W-A
P0CX70	sce:YDR365W-A
P0CX70	sce:YER137C-A
P0CX70	sce:YLR157C-A
P0CX70	sce:YPL257W-A
P36138	sce:YKR045C
Q12173	sce:YGR109W-A
Q12387	sce:YOL076W
P14127	sce:YDR447C
Q12481	sce:YOR287C
P0CX58	sce:YAR010C
P0CX58	sce:YPR137C-A
Q06595	sce:YPR196W
P46654	sce:YLR048W
Q12441	sce:YDR210C-C
P08432	sce:YKL184W
P48561	sce:YNL299W
Q12008	sce:YDL021W
P47007	sce:YJL147C
P05745	sce:YMR194W
Q04728	sce:YMR062C
Q3E7Y3	sce:YLR367W
Q07845	sce:YLL035W
P53438	sce:YMR016C
P05749	sce:YLR061W
Q03496	sce:YMR259C
Q03002	sce:YPL141C
P41056	sce:YOR234C
Q03214	sce:YMR176W
P0CX57	sce:YAR010C
P0CX57	sce:YPR137C-A
Q05924	sce:YLR361C
P47988	sce:YOR337W
P0C074	sce:YNL138W-A
P0CX76	sce:YJR026W
P0CX76	sce:YLR227W-A
P0CX76	sce:YML040W
P09950	sce:YDR232W
Q3E792	sce:YGR027C
P40994	sce:YOR094W
Q12085	sce:YGR027W-A
P01098	sce:YDL130W-A
P22516	sce:YPL008W
P0CX69	sce:YDR316W-A
P0CX69	sce:YER159C-A
P0CX69	sce:YGR161C-C
P0CX69	sce:YMR051C
P03878	sce:Q0065
A0A023PZB3	sce:YER038W-A
P38222	sce:YBR030W
Q99359	sce:YDR014W
Q02326	sce:YML073C
Q04235	sce:YML005W
P43589	sce:YFR005C
P38128	sce:YBR182C
P25038	sce:YOL023W
Q2V2Q1	sce:YCL058W-A
P0C2I8	sce:YLR256W-A
P41696	sce:YOR113W
P51401	sce:YNL067W
P53972	sce:YNL022C
P53304	sce:YGR212W
P34220	sce:YBL055C
P0CE41	sce:YLR256W
Q08971	sce:YPL225W
Q04706	sce:YML045W-A
P53208	sce:YGR015C
P39684	sce:YFR023W
